emoji,short_name,codepoints,keywords,category,subcategory,sort_order
🧗🏻‍♀️,woman_climbing_light_skin_tone,1F9D7 1F3FB 200D 2640 FE0F,woman climbing light skin tone,People & Body,person-activity,1899
🧗🏼‍♀️,woman_climbing_medium_light_skin_tone,1F9D7 1F3FC 200D 2640 FE0F,woman climbing medium light skin tone,People & Body,person-activity,1900
🧗🏽‍♀️,woman_climbing_medium_skin_tone,1F9D7 1F3FD 200D 2640 FE0F,woman climbing medium skin tone,People & Body,person-activity,1901
🧗🏾‍♀️,woman_climbing_medium_dark_skin_tone,1F9D7 1F3FE 200D 2640 FE0F,woman climbing medium dark skin tone,People & Body,person-activity,1902
🧗🏿‍♀️,woman_climbing_dark_skin_tone,1F9D7 1F3FF 200D 2640 FE0F,woman climbing dark skin tone,People & Body,person-activity,1903
🤺,person_fencing,1F93A,person fencing,People & Body,person-sport,1904
🏇,horse_racing,1F3C7,horse racing,People & Body,person-sport,1905
🏇🏻,horse_racing_light_skin_tone,1F3C7 1F3FB,horse racing light skin tone,People & Body,person-sport,1906
🏇🏼,horse_racing_medium_light_skin_tone,1F3C7 1F3FC,horse racing medium light skin tone,People & Body,person-sport,1907
🏇🏽,horse_racing_medium_skin_tone,1F3C7 1F3FD,horse racing medium skin tone,People & Body,person-sport,1908
🏇🏾,horse_racing_medium_dark_skin_tone,1F3C7 1F3FE,horse racing medium dark skin tone,People & Body,person-sport,1909
🏇🏿,horse_racing_dark_skin_tone,1F3C7 1F3FF,horse racing dark skin tone,People & Body,person-sport,1910
⛷️,skier,26F7 FE0F,skier,People & Body,person-sport,1911
🏂️,snowboarder,1F3C2 FE0F,snowboarder,People & Body,person-sport,1912
🏂🏻,snowboarder_light_skin_tone,1F3C2 1F3FB,snowboarder light skin tone,People & Body,person-sport,1913
🏂🏼,snowboarder_medium_light_skin_tone,1F3C2 1F3FC,snowboarder medium light skin tone,People & Body,person-sport,1914
🏂🏽,snowboarder_medium_skin_tone,1F3C2 1F3FD,snowboarder medium skin tone,People & Body,person-sport,1915
🏂🏾,snowboarder_medium_dark_skin_tone,1F3C2 1F3FE,snowboarder medium dark skin tone,People & Body,person-sport,1916
🏂🏿,snowboarder_dark_skin_tone,1F3C2 1F3FF,snowboarder dark skin tone,People & Body,person-sport,1917
🏌️,person_golfing,1F3CC FE0F,person golfing,People & Body,person-sport,1918
🏌🏻,person_golfing_light_skin_tone,1F3CC 1F3FB,person golfing light skin tone,People & Body,person-sport,1919
🏌🏼,person_golfing_medium_light_skin_tone,1F3CC 1F3FC,person golfing medium light skin tone,People & Body,person-sport,1920
🏌🏽,person_golfing_medium_skin_tone,1F3CC 1F3FD,person golfing medium skin tone,People & Body,person-sport,1921
🏌🏾,person_golfing_medium_dark_skin_tone,1F3CC 1F3FE,person golfing medium dark skin tone,People & Body,person-sport,1922
🏌🏿,person_golfing_dark_skin_tone,1F3CC 1F3FF,person golfing dark skin tone,People & Body,person-sport,1923
🏌️‍♂️,man_golfing,1F3CC FE0F 200D 2642 FE0F,man golfing,People & Body,person-sport,1924
🏌🏻‍♂️,man_golfing_light_skin_tone,1F3CC 1F3FB 200D 2642 FE0F,man golfing light skin tone,People & Body,person-sport,1925
🏌🏼‍♂️,man_golfing_medium_light_skin_tone,1F3CC 1F3FC 200D 2642 FE0F,man golfing medium light skin tone,People & Body,person-sport,1926
🏌🏽‍♂️,man_golfing_medium_skin_tone,1F3CC 1F3FD 200D 2642 FE0F,man golfing medium skin tone,People & Body,person-sport,1927
🏌🏾‍♂️,man_golfing_medium_dark_skin_tone,1F3CC 1F3FE 200D 2642 FE0F,man golfing medium dark skin tone,People & Body,person-sport,1928
🏌🏿‍♂️,man_golfing_dark_skin_tone,1F3CC 1F3FF 200D 2642 FE0F,man golfing dark skin tone,People & Body,person-sport,1929
🏌️‍♀️,woman_golfing,1F3CC FE0F 200D 2640 FE0F,woman golfing,People & Body,person-sport,1930
🏌🏻‍♀️,woman_golfing_light_skin_tone,1F3CC 1F3FB 200D 2640 FE0F,woman golfing light skin tone,People & Body,person-sport,1931
🏌🏼‍♀️,woman_golfing_medium_light_skin_tone,1F3CC 1F3FC 200D 2640 FE0F,woman golfing medium light skin tone,People & Body,person-sport,1932
🏌🏽‍♀️,woman_golfing_medium_skin_tone,1F3CC 1F3FD 200D 2640 FE0F,woman golfing medium skin tone,People & Body,person-sport,1933
🏌🏾‍♀️,woman_golfing_medium_dark_skin_tone,1F3CC 1F3FE 200D 2640 FE0F,woman golfing medium dark skin tone,People & Body,person-sport,1934
🏌🏿‍♀️,woman_golfing_dark_skin_tone,1F3CC 1F3FF 200D 2640 FE0F,woman golfing dark skin tone,People & Body,person-sport,1935
🏄️,person_surfing,1F3C4 FE0F,person surfing,People & Body,person-sport,1936
🏄🏻,person_surfing_light_skin_tone,1F3C4 1F3FB,person surfing light skin tone,People & Body,person-sport,1937
🏄🏼,person_surfing_medium_light_skin_tone,1F3C4 1F3FC,person surfing medium light skin tone,People & Body,person-sport,1938
